"customer","projectName","projectNumber","status"
"Hoover Building Specialists, Inc.","Earl R Martin- Truck Shop","2508-ERM","Bid Submitted"
"Hoover Building Specialists, Inc.","Edge Metalworks","","Bid Submitted"
"Hoover Building Specialists, Inc.","Engel Architects Basement","Engel Architects Basement","Estimating"
"Hoover Building Specialists, Inc.","Family Treasures Wholesale","2506 - FTW","Estimating"
"Hoover Building Specialists, Inc.","Family Treasures Wholesale","2506 - FTW","In Progress"
"Hoover Building Specialists, Inc.","Farmer Boy Ag","","Bid Submitted"
"Hoover Building Specialists, Inc.","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Hoover Building Specialists, Inc.","Foxcraft Cabinets","","Bid Submitted"
"Hoover Building Specialists, Inc.","Garden Spot Fire & Rescue","GSF-25-001","Lost"
"Hoover Building Specialists, Inc.","Gateway Church","2510-GC","Delayed"
"Hoover Building Specialists, Inc.","Golden Barrel Addition","GBA-25-001","Lost"
"Hoover Building Specialists, Inc.","Goods Store - Ephrata State Street","2510 - GSE","Complete"
"Hoover Building Specialists, Inc.","Goods Store - Ephrata State Street","2510 - GSE","Estimating"
"Hoover Building Specialists, Inc.","Goods Store Quarryville","2601 - GSQ","Bid Submitted"
"Hoover Building Specialists, Inc.","Goods Store Quarryville","2601 - GSQ","In Progress"
"Hoover Building Specialists, Inc.","Heritage Metalworks","2505 - HM","Bid Submitted"
"Hoover Building Specialists, Inc.","If It's Water","","Bid Submitted"
"Hoover Building Specialists, Inc.","J-Tech","2511-JT","Bid Submitted"
"Hoover Building Specialists, Inc.","J-Tech","2511-JT","Bid Submitted"
"Hoover Building Specialists, Inc.","John Stoltzfus","PESB - 24-001","Estimating"
"Hoover Building Specialists, Inc.","Kemper Equipment","2505 - KE","Estimating"
"Hoover Building Specialists, Inc.","Kemper Equipment","2505 - KE","In Progress"
"Hoover Building Specialists, Inc.","Kings Casual","","Bid Submitted"
"Hoover Building Specialists, Inc.","Krager Properties","KP - 24 - 001","Bid Submitted"
"Hoover Building Specialists, Inc.","Ladder Tower Addition","2507-LTA","Bid Submitted"
"Hoover Building Specialists, Inc.","Lancaster Log Cabins 2025","2507-LLC","Bid Submitted"
"Hoover Building Specialists, Inc.","Lanco Lift","2510- LL","Bid Submitted"
"Hoover Building Specialists, Inc.","MB Glick","MBG - 25 - 001","Delayed"
"Hoover Building Specialists, Inc.","MH Eby","MHE - 24 - 001","Bid Submitted"
"Hoover Building Specialists, Inc.","Martin Appliance- Reading","2509-MAR","Bid Submitted"
"Hoover Building Specialists, Inc.","McIlvaine Tree and Lawn","MTL-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Melvin Weaver 2024","","Estimating"
"Hoover Building Specialists, Inc.","Mennonite Disaster Services","","Bid Submitted"
"Hoover Building Specialists, Inc.","Metzler's Gymnastic Center","MGC-25-001","Delayed"
"Hoover Building Specialists, Inc.","Mine Road Church","2511-MRC","In Progress"
"Hoover Building Specialists, Inc.","Mine Road Church","2511-MRC","Estimating"
"Hoover Building Specialists, Inc.","Modern Country Homes","MCH-25-001","Lost"
"Hoover Building Specialists, Inc.","Mountain Supply","MOU-25-001","Delayed"
"Hoover Building Specialists, Inc.","New Haven Restrooms","NHR -  24 - 001","Lost"
"Hoover Building Specialists, Inc.","New Holland Pole Barn","WWS-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Offroad Motorsports","2509-ORMS","Bid Submitted"
"Hoover Building Specialists, Inc.","Onvo Duncannon","2505 - OD","Lost"
"Hoover Building Specialists, Inc.","PMC Operations","2506-SDMB","Estimating"
"Hoover Building Specialists, Inc.","Paneling Sales North Building","","Complete"
"Hoover Building Specialists, Inc.","Paneling Sales Pine Building","2511-PSPB","Complete"
"Hoover Building Specialists, Inc.","Paneling Sales Pine Building","Paneling Sales Pine Building","Estimating"
"Hoover Building Specialists, Inc.","Paneling Sales- Main Building","PAN-25-001","Estimating"
"Hoover Building Specialists, Inc.","Paneling Sales- Main Building","PAN-25-001","Complete"
"Hoover Building Specialists, Inc.","Paneling Sales- North Building","","Complete"
"Hoover Building Specialists, Inc.","Paneling Sales- Pine Building","","Complete"
"Hoover Building Specialists, Inc.","Paradise Energy Solutions","PES - 24 - 001","Lost"
"Hoover Building Specialists, Inc.","Paradise Energy Solutions Building","PESB - 24-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Paradise Masonry Time Tracking","PMC Time","Estimating"
"Hoover Building Specialists, Inc.","Paragon Computing Solutions","2508 - PCS","In Progress"
"Hoover Building Specialists, Inc.","Penn Valley Gas","PV-24-002","In Progress"
"Hoover Building Specialists, Inc.","Penn Valley Gas (Old)","PV-24-001","To Do"
"Hoover Building Specialists, Inc.","Prestige Painting","PRE-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Rushtown Poultry","2511-RP","Bid Submitted"
"Hoover Building Specialists, Inc.","Sauders Feedmill","2511-SFM","In Progress"
"Hoover Building Specialists, Inc.","Sauders Feedmill","2511-SFM","Estimating"
"Hoover Building Specialists, Inc.","Shalom Mennonite School","2506 - SMS","Bid Submitted"
"Hoover Building Specialists, Inc.","Shank Door Main Building","2506-SDMB","Estimating"
"Hoover Building Specialists, Inc.","Shank Door Main Building","2506-SDMB","In Progress"
"Hoover Building Specialists, Inc.","Shank Door Site","SDS-25-001","In Progress"
"Hoover Building Specialists, Inc.","Shank Door Site","SDS-25-001","Estimating"
"Hoover Building Specialists, Inc.","Shank Door Wash Bay","SD - 24 - 001","Lost"
"Hoover Building Specialists, Inc.","Smucker's Hardscape","2510-SH","Bid Submitted"
"Hoover Building Specialists, Inc.","Sporting Hill Christian School","","Bid Submitted"
"Hoover Building Specialists, Inc.","Spring Valley Church of God","2511-SVCOG","Bid Submitted"
"Hoover Building Specialists, Inc.","Spring Valley Church of God Interior Balcony","","Bid Submitted"
"Hoover Building Specialists, Inc.","Stevens Feed Mill Office","","Bid Submitted"
"Hoover Building Specialists, Inc.","Stevens Feed Mill Schoeneck","2509 - SFMS","In Progress"
"Hoover Building Specialists, Inc.","Stevens Feed Mill-Denver","SFM-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Stoltzfus Hardwoods- Storage Building","2506-SH","Estimating"
"Hoover Building Specialists, Inc.","Stoltzfus Hardwoods- Storage Building","2506-SH","In Progress"
"Hoover Building Specialists, Inc.","Superior Truss Lumber Storage Addition","2507 - STLSA","Bid Submitted"
"Hoover Building Specialists, Inc.","Superior Truss Storage Shed","2507 - STSS","Bid Submitted"
"Hoover Building Specialists, Inc.","Superior Trusses Sprinkler System","2508-STWW","Bid Submitted"
"Hoover Building Specialists, Inc.","Tamaqua Truck and Trailer","TAM-25-001","Lost"
"Hoover Building Specialists, Inc.","Telford Contractor Storage","2510 - TCS","Lost"
"Hoover Building Specialists, Inc.","Test project 2","TP-24-001","Estimating"
"Hoover Building Specialists, Inc.","The Trailer Shoppe","TTS-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","True Legacy Metals","TLM-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","Village Farm Market","","Bid Submitted"
"Hoover Building Specialists, Inc.","WS Bath","2507 - WSB","Bid Submitted"
"Hoover Building Specialists, Inc.","Weavertown Mennonite School","","Bid Submitted"
"Hoover Building Specialists, Inc.","Weiler Walls","WWS-25-001","Bid Submitted"
"Hoover Building Specialists, Inc.","White Oak Church","25-07-WOC","Bid Submitted"
"Hoover Building Specialists, Inc.","Yates Rental","YR - 25 - 001","Lost"
"Horst Excavating","Eagle Point - Horst","2509 - EP","Bid Submitted"
"Horst Excavating","GLC Lehigh Valley Warehouse","","Bid Submitted"
"Horst Excavating","Sandbox Test Project","12345","Estimating"
"Horst Excavating","TCC East Cocalico Warehouse","","Bid Submitted"
"IMC Construction","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"IMC Construction","Greystar Great Valley Residential","GR-25-001","Lost"
"IMC Construction","New Holland Pole Barn","WR-25-001","Bid Submitted"
"IMC Construction","PMC Operations","GR-25-001","Estimating"
"IMC Construction","SPD Jaindl Farms","","Bid Submitted"
"IMC Construction","SPD Jaindl Farms","","Bid Submitted"
"J.E. Horst Building and Remodeling","701 Poplar Church Rd","701 Poplar Church Rd","Estimating"
"J.E. Horst Building and Remodeling","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"J.E. Horst Building and Remodeling","Blue Ridge School","2508 - BRS","Estimating"
"J.E. Horst Building and Remodeling","Blue Ridge School","2508 - BRS","In Progress"
"J.E. Horst Building and Remodeling","Brookstone Industries","","Estimating"
"J.E. Horst Building and Remodeling","Butler Annville Pump House","2509 - BAPH","In Progress"
"J.E. Horst Building and Remodeling","Butler Annville Pump House","2509 - BAPH","Estimating"
"J.E. Horst Building and Remodeling","Ducklings Ambassador Circle","Ducklings Ambassador Circle","Estimating"
"J.E. Horst Building and Remodeling","Dutch Cousins Campground","2510 - DCC","In Progress"
"J.E. Horst Building and Remodeling","Dutch Cousins Campground","2510 - DCC","Estimating"
"J.E. Horst Building and Remodeling","Farmer Boy Ag","2510 - FBA","Bid Submitted"
"J.E. Horst Building and Remodeling","Foxcraft Cabinets","","Estimating"
"J.E. Horst Building and Remodeling","Foxcraft Cabinets","","Bid Submitted"
"J.E. Horst Building and Remodeling","John Stoltzfus","PI-25-001","Estimating"
"J.E. Horst Building and Remodeling","L&L Marketplace","","Bid Submitted"
"J.E. Horst Building and Remodeling","Mechanicsburg Volunteer Fire Department","Mechanicsburg Volunteer Fire Department","Estimating"
"J.E. Horst Building and Remodeling","Onvo Duncannon","2505 - OD","Lost"
"J.E. Horst Building and Remodeling","Standard Estimating Template","Shop_Equipment_Test","Estimating"
"J.E. Horst Building and Remodeling","Zimmeys Auto 24-145","ZIM-25-001","Delayed"
"Jonas King","Jonas King Sidewalk","2602 - JKS","Bid Submitted"
"Jonas King","Jonas King Sidewalk","2602 - JKS","In Progress"
"Jonas King","Jonas King Sidewalk","2602 - JKS","Estimating"
"Keller Contracting LLC","St Peters Church","2510 - SP","Bid Submitted"
"Keystone Steel Structures","Solanco Spray Foam","","Estimating"
"Keystone Steel Structures","West Building Wolf Movers Keystone","WBWMK - 25 - 001","Bid Submitted"
"Keystruct Construction LLC","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Keystruct Construction LLC","Commerce Drive Production Facility","CD - 25 - 001","Bid Submitted"
"Keystruct Construction LLC","Cumberland Township Municipal Building","CM-25-001","Lost"
"Keystruct Construction LLC","New Holland Pole Barn","2510 - YE","Bid Submitted"
"Keystruct Construction LLC","Onvo Duncannon","2505 - OD","Lost"
"Keystruct Construction LLC","Sandbox Test Project","12345","Estimating"
"Keystruct Construction LLC","Yale Electric","2510 - YE","Bid Submitted"
"Kinsley Construction","St Peters Church","2510 - SP","Bid Submitted"
"LL Groff & Son, Inc.","Rohrers Office Building","","Accepted"
"LL Groff & Son, Inc.","Test project 2","TP-24-001","Estimating"
"Lynmar Builders","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Lynmar Builders","Giant East Brandywine #6459","","Bid Submitted"
"Lynmar Builders","Giant Food Store","2508 - GI","Lost"
"MK Builders","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"MK Builders","Lumber Storage Building","2508 - LS","Bid Submitted"
"Metropolitan Companies","Dublin Village II Apartments","","Lost"
"Metropolitan Companies","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Metropolitan Companies","Millersville Apartments","","Lost"
"Metropolitan Companies","New Holland Pole Barn","2505-MF","Bid Submitted"
"Metropolitan Companies","Onvo Duncannon","2505 - OD","Lost"
"Metropolitan Companies","Paradise Masonry Time Tracking","PMC Time","Estimating"
"Milex Construction, LLC","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Milex Construction, LLC","Brixmor - Barn Plaza","","Estimating"
"Milex Construction, LLC","Brixmor - Barn Plaza","","Estimating"
"Milex Construction, LLC","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"Milex Construction, LLC","Engel Architects Basement","Engel Architects Basement","Estimating"
"Milex Construction, LLC","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Milex Construction, LLC","John Stoltzfus","WR-25-001","Estimating"
"Milex Construction, LLC","Sadsbury Commons","2508 - SC","Bid Submitted"
"Milex Construction, LLC","Sadsbury Commons","2508 - SC","Bid Submitted"
"Milex Construction, LLC","Sadsbury Commons","2508 - SC","Estimating"
"Milex Construction, LLC","Sadsbury Commons","2508 - SC","Accepted"
"Milex Construction, LLC","Sandbox Test Project","12345","Estimating"
"Milex Construction, LLC","Willow Grove Retail Buildings D","WR-25-001","Lost"
"Milex Construction, LLC","Willow Grove Retail Buildings H","WR-25-001","Lost"
"Modern Country Homes","Modern Country Homes","2509 - MCH","Bid Submitted"
"Murry Communities, Ltd.","34 E Roseville Road","","Bid Submitted"
"Murry Communities, Ltd.","John Stoltzfus","2506 - FTW","Estimating"
"Onvo","Onvo Paid Truck Parking","2508 - OPTP","Lost"
"Paradise Masonry, LLC","LStoltzfus","LS-24-001","Complete"
"Paradise Masonry, LLC","Stevens Feed Mill (Jr's. Demo Project)","","Estimating"
"Paradise Masonry, LLC","Test project 2","TP-24-001","Estimating"
"Paul Risk Construction","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"Paul Risk Construction","Ducklings Ambassador Circle Site","Ducklings Ambassador Circle Site","Estimating"
"Paul Risk Construction","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Paul Risk Construction","La Petite Academy","2505-LA","Bid Submitted"
"Paul Risk Construction","La Petite Academy","2505-LA","Invitations"
"Paul Risk Construction","Mercedes of Wilmington PR","2508 - MOWPR","Bid Submitted"
"Paul Risk Construction","Piazza Porsche","2508-PP","Bid Submitted"
"Paul Risk Construction","Solanco HS Toilet Room Reno","","Invitations"
"Precise Concrete Walls","Mercersburg WWTP","","Bid Submitted"
"Professional Design & Construction, LLC","Stable Hollow Facility","SHF - 25 - 001","Bid Submitted"
"Raymond King","Raymond King","0825-RK","Bid Submitted"
"Rocky View Construction","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Rocky View Construction","Glicks Woodworks","2506-GW","Bid Submitted"
"SOP Inc","FOR_SOP_CREATION","9009","To Do"
"SOP Inc","PMC Test Project","2024-10-001","Estimating"
"Scenic Ridge Construction","Agape Safe Haven","2510 - ASH","Bid Submitted"
"Scenic Ridge Construction","Alexander Drive Addition","2508 - ADA","In Progress"
"Scenic Ridge Construction","Alexander Drive Addition Latest","501-A","Accepted"
"Scenic Ridge Construction","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Scenic Ridge Construction","John F Martin","2601 - JFM","Estimating"
"Scenic Ridge Construction","John F Martin","2601 - JFM","In Progress"
"Scenic Ridge Construction","New Holland Pole Barn","2509 - SFMS","Bid Submitted"
"Scenic Ridge Construction","Pro Ag","2509 - PA","Bid Submitted"
"Scenic Ridge Construction","Rob Rush","","Bid Submitted"
"Scenic Ridge Construction","Rob Rush","","Bid Submitted"
"Scenic Ridge Construction","Test project 2","TP-24-001","Estimating"
"Smucker Brothers Construction","Engel Properties","","Bid Submitted"
"Speedwell Construction Inc.","Agape Safe Haven - Speedwell","2510 - ASH","Bid Submitted"
"Speedwell Construction Inc.","Fleetwood Polebarns","FPB - 25 - 001","Bid Submitted"
"Speedwell Construction Inc.","Giant Food Store","2508 - GI","Lost"
"Speedwell Construction Inc.","Onvo Duncannon","2505 - OD","Lost"
"Speedwell Construction Inc.","Paradise Masonry Time Tracking","PMC Time","Estimating"
"Speedwell Construction Inc.","Piazza Volkswagen","2506 - PV","Lost"
"Speedwell Construction Inc.","Townplace Suites - Lebanon","TS-25-001","Lost"
"Speedwell Construction Inc.","WaWa #8191 Hummelstown","2506 - WH","Bid Submitted"
"Speedwell Construction Inc.","Wawa #8236","","Bid Submitted"
"Speedwell Construction Inc.","Wawa #8236","","Bid Submitted"
"Storage Construction","New Holland Pole Barn","2508-CCS","Bid Submitted"
"Storage Construction","Valley Storage Lititz Springs","","Bid Submitted"
"UNKNOWN","218 East Madison Street","","Bid Submitted"
"UNKNOWN","AB Martin 34 Denver Road","","Complete"
"UNKNOWN","CONSTRUCT HANGAR AND PARKING LOT - INDIANA COUNTY JIMMY STEWART AIRPORT ","","Invitations"
"UNKNOWN","Clark Associates Lancaster","","Complete"
"UNKNOWN","Complete Recycling Group ","","Bid Submitted"
"UNKNOWN","Copy of Messiah Lifeways Fernecrest Apartments ","","Estimating"
"UNKNOWN","Copy of TCC East Cocalico Warehouse ","","Estimating"
"UNKNOWN","Dublin Village II Apartments ","","Lost"
"UNKNOWN","Ducklings Ambassador Circle","","In Progress"
"UNKNOWN","Ducklings Ambassador Circle Site","Ducklings Ambassador Circle Site","Estimating"
"UNKNOWN","Ducklings Ambassador Circle Site","","Complete"
"UNKNOWN","Dutch Cousins Campground","","In Progress"
"UNKNOWN","Engel Architects Basement","Engel Architects Basement","Estimating"
"UNKNOWN","FOR_SOP_CREATION","","To Do"
"UNKNOWN","Family Treasures Wholesale","","In Progress"
"UNKNOWN","GSV Center For Arts And Culture","","Bid Submitted"
"UNKNOWN","Gables 833 Patio ","","Complete"
"UNKNOWN","Giant #6582","","In Progress"
"UNKNOWN","Goods Store - Ephrata State Street","","Complete"
"UNKNOWN","Greenfield Clubhouse","","Complete"
"UNKNOWN","Guardian Barriers","","Complete"
"UNKNOWN","La Petite Academy","","Invitations"
"UNKNOWN","Landis Homes - Facilities Building","","Bid Submitted"
"UNKNOWN","Landis Homes Healthcare Suite","LH - 25 - 001","Bid Submitted"
"UNKNOWN","Loft Community Partners","","Complete"
"UNKNOWN","Memory Care 3A","","In Progress"
"UNKNOWN","Mercersburg WWTP","","Bid Submitted"
"UNKNOWN","Middletown Area Primary School","","In Progress"
"UNKNOWN","Millersville Apartments ","","Lost"
"UNKNOWN","Paneling Sales- Main Building","","Complete"
"UNKNOWN","Paneling Sales- North Building","","Complete"
"UNKNOWN","Paneling Sales- Pine Building","","Complete"
"UNKNOWN","Providence Park Garage 306","","Lost"
"UNKNOWN","Rohrers Office Building ","","Accepted"
"UNKNOWN","Samuel Brothers Retail Center","","Accepted"
"UNKNOWN","Shank Door Site","","In Progress"
"UNKNOWN","Solanco HS Toilet Room Reno","","Invitations"
"UNKNOWN","Sporting Hill Christian School","","Bid Submitted"
"UNKNOWN","Spring Valley Church of God Interior Balcony","","Bid Submitted"
"UNKNOWN","Standard Estimating Template","","Estimating"
"UNKNOWN","Standard Project Template","","Estimating"
"UNKNOWN","Stevens Feed Mill Schoeneck","2509 - SFMS","Bid Submitted"
"UNKNOWN","Stoltzfus Hardwoods- Storage Building","","In Progress"
"UNKNOWN","The Learning Experience","","Complete"
"UNKNOWN","Twin County Business Park","","Bid Submitted"
"UNKNOWN","UGI Middletown Warehouse","","Complete"
"UNKNOWN","Weavertown Mennonite School","","Bid Submitted"
"Universe Construction LLC","Fisher Project","2505-FP","Lost"
"Warfel Construction","ACTS Lower Gwynedd - Oakbridge Terrace","2508 - OT","Bid Submitted"
"Warfel Construction","Arconic B&G","2511 - ABG","Bid Submitted"
"Warfel Construction","Audubon Collegeville","2518 - AC","Bid Submitted"
"Warfel Construction","Broadcasting Village","BV-25-001","Bid Submitted"
"Warfel Construction","Cavod Performing Arts Center","2511 - CPAC","Bid Submitted"
"Warfel Construction","Chabad House","2511-CH","Bid Submitted"
"Warfel Construction","Collegeville Apartments","CA-25-001","Bid Submitted"
"Warfel Construction","Cozy Cabins Shed","2508-CCS","Bid Submitted"
"Warfel Construction","FOR_SOP_CREATION","9009","Bid Submitted"
"Warfel Construction","Foulkeways Fitness","","Estimating"
"Warfel Construction","GSV Center For Arts And Culture","","Bid Submitted"
"Warfel Construction","Garden Spot - Sycamore Springs","","Bid Submitted"
"Warfel Construction","John Stoltzfus","2511 - ABG","Estimating"
"Warfel Construction","Lancaster Archery","2506-LA","Bid Submitted"
"Warfel Construction","Landis Homes - Facilities Building","","Bid Submitted"
"Warfel Construction","Landis Homes - Grounds Keeping Building","2511 - LHGB","Bid Submitted"
"Warfel Construction","Landis Homes - The Meadows Building 3","","Bid Submitted"
"Warfel Construction","Landis Homes Barn","2511 - LHB","Bid Submitted"
"Warfel Construction","Landis Homes Healthcare Suite","LH - 25 - 001","Bid Submitted"
"Warfel Construction","Moravian Manor Woodlands","","Bid Submitted"
"Warfel Construction","New Project","Shop_Equipment_Test","Estimating"
"Warfel Construction","Onvo Duncannon","2505 - OD","Lost"
"Warfel Construction","Shop_Equipment_Test","Shop_Equipment_Test","Estimating"
"Warfel Construction","Tel Hai Health Center","2506 - TH","In Progress"
"Warfel Construction","Tel Hai Health Center","2506 - TH","Estimating"
"Warfel Construction","Test project 2","TP-24-001","Estimating"
"Warfel Construction","The Meadows Hybrid Homes Buildings 1 &2","MH-25-001","Lost"
"Warfel Construction","Veritas Academy","2511 - VA","Estimating"
"Warfel Construction","Veritas Academy","2511 - VA","In Progress"
"Warfel Construction","Witmer Property","Witmer Property","Estimating"
"Weaver Construction","Lancaster Archery","2506-LA","Bid Submitted"
"Weaver Construction","Paradise Masonry Time Tracking","PMC Time","Estimating"
"Wohlsen Construction Company","ACTS Lower Gwynedd - Oakbridge Terrace","2508 - OT","Bid Submitted"
"Wohlsen Construction Company","Crossroads Beverage","CB - 25 - 001","Lost"
"Wohlsen Construction Company","PMC Operations","CB - 25 - 001","Estimating"
"Wynstride","Complete Recycling Group","","Bid Submitted"
"eciConstruction","Railroad Museum of PA","RM-25-001","Lost"
"UNKNOWN","Alexander Drive Addition","Alexander Drive Addition","Estimating"
"UNKNOWN","Gish Furniture","2602 - GF",""
"UNKNOWN","New Holland Pole Barn","","Bid Submitted"
"UNKNOWN","Samuel Brothers Retail Center","2602 - SBRC",""
"UNKNOWN","Standard Estimating Template","","Estimating"
"UNKNOWN","Standard Project Template","","Estimating"